2015年10月18日，中共中央印发了《中国共产党廉洁自律准则》（《准则》）和《中国共产党纪律处分条例》（《条例》），《准则》的正式施行时间为____。,2015年10月18日,2016年1月1日,2016年7月1日,2015年12月1日,B
《中国共产党廉洁自律准则》要求党员领导干部廉洁用权，________。,自觉维护人民根本利益,自觉提升思想道德境界,自觉保持人民公仆本色,自觉带头树立良好家风,A
《中国共产党纪律处分条例》指出，________是最根本的党内法规，是管党治党的总规矩。,宪法,党章,中国共产党廉洁自律准则,中国共产党纪律处分条例,B
2015年修订的《中国共产党廉洁自律准则》和《中国共产党纪律处分条例》是对________的具体化。,习总书记讲话精神,十八大精神,十八届三中全会精神,党章规定,D
《中国共产党廉洁自律准则》要求党员领导干部_________，自觉带头树立良好家风。,公私分明,廉洁齐家,廉洁从政  ,从严治党,B
《中国共产党纪律处分条例》规定，组织、参加会道门或者邪教组织的，对策划者、组织者和骨干分子，给予_______处分。,严重警告,严重警告,留党察看,开除党籍,D
《中国共产党纪律处分条例》规定，在干部选拔任用工作中，违反干部选拔任用规定的，追究________的责任，并视情节轻重给予相应党纪处分。,重要领导责任者,主要领导责任者,直接责任者和领导责任者,直接责任者,C
《中国共产党纪律处分条例》规定，生活奢靡、贪图享乐、追求低级趣味，造成不良影响的，给予警告或者严重警告处分；情节严重的，给予_______处分。,开除党籍,留党察看,撤销党内职务,留党察看或开除党籍,C
根据《中国共产党纪律处分条例》，实施党纪处分，应当按照规定程序经党组织集体讨论决定，不允许任何个人或者少数人决定和批准。上级党组织对违犯党纪的党组织和党员作出的处理决定，下级党组织必须执行。以上表述概括的是下列________原则。,实事求是原则,党要管党、从严治党原则,党员在党纪面前人人平等原则,民主集中制原则,D
《中国共产党纪律处分条例》规定，在国（境）外、外国驻华使（领）馆申请政治避难，或者违纪违法后逃往国（境）外、外国驻华使（领）馆的，给予_____处分。,严重警告,撤销党内职务,开除党籍,留党察看,C
《中国共产党纪律处分条例》规定了纪律处分的运用规则，以下_______不符合这一规则要求。,何某主动上交违纪所得的，因此从轻处分,龚某强迫他人违纪，因此加重处分,廖某受党纪处分后，又被发现其受处分前的违纪行为应当受到党纪处分，因此从重处分,韩某违犯党纪，因有其他立功表现，由撤销党内职务改为免去现职，免予党纪处分,D
《行政机关公务员处分条例》规定，对地方各级人民代表代会及其常务委员会选举或者决定任命的地方各级人民政府领导人员给予处分，由_______人民政府决定。,本级人民政府,上一级人民政府,地方各级人民代表大会,地方各级人民代表大会常务委员会,B
《行政机关公务员处分条例》规定，行政机关公务员受处分的期间为：_______。,警告3个月、记过6个月、记大过9个月、降级撤职12个月,警告3个月、记过6个月、记大过9个月、降级撤职18个月,警告6个月、记过9个月、记大过12个月、降级撤职18个月,警告6个月、记过12个月、记大过18个月、降级撤职24个月,D
根据《中国共产党纪律处分条例》，党员领导干部下列______行为不会受到党纪处分。,与他人发生不正当性关系，造成不良影响,接受可能影响公正执行公务的宴请,参加老乡会、战友会,购买超过规定标准的小轿车,C
新时期党的干部工作的重要指导方针是_________.,领导决策,常委会决定,德才兼备、以德为先 ,组织推荐、个别酝酿,C
党员在受到撤销党内职务处分后的________年内，不得让其在党内担任和向党外推荐担任与其职务相当或高于原职务的工作。,两年,一年,三年,半年,A
党章规定的各项纪律都必须严格遵守和执行，而最首要、最核心的就是要严格遵守和执行党的________。,组织纪律,群众工作纪律,政治纪律,经济工作纪律,C
 对因用人方面问题受到责令辞职、免职、降职等组织处理的，________内不得提拔。,半年,两年,一年,三年,B
贪污贿赂行为，是指党政领导干部在经济活动中实施的______职务违纪行为。,收受性,贪利性,挪用性,侵占性,B
要严格党内________，健全党员党性定期分析、民主评议等制度。,民主生活,政治生活,学习生活 ,组织生活,D
党的领导主要是_______的领导。,政治、思想和组织,政治、经济和文化,政治、思想和国防  ,政治、国防和外交,A
党是根据自己的_______，按照民主集中制组织起来的统一整体。,理想和信念,行动纲领,纲领和章程 ,目标和任务,C
党的各级代表大会的代表和委员会的产生，要体现_________的意志。选举采用无记名投票的方式，候选人名单要由党组织和选举人充分酝酿讨论。,全体人民,选举人,党组织,党员代表,B
凡是成立党的新组织，或是撤销党的原有组织，必须由_______决定。,上级党组织,上级党委和政府,党中央,上级党组织和纪委,D
被习近平总书记称为共产党人精神上的“钙”的是________。,廉洁意识,理想信念,法治意识,群众观念,B
十八大报告中指出的建设 “三型”马克思主义政党是指_______。,学习型、服务型、完善型,学习型、纪律型、服务型,学习型、创新型、完善型,学习型、服务型、创新型,D
下列不属于监督执纪“四种形态”“常态范畴”的是_______。,诫勉谈话,函询,组织处理,在民主生活会上作说明,C
